UserID,NavigationalStatus,RateOfTurn,Sog,PositionAccuracy,Longitude,Latitude,Cog,TrueHeading,SpecialManoeuvreIndicator,Timestamp,UTCTime
220520000,5,0,0,False,-4.629058333333333,53.31219333333333,308.6,37,2,52,2023-10-02 00:58:53.984632+00:00
265000000,15,-128,0.7,False,-8.288141666666666,51.852936666666665,279.1,511,0,32,2023-10-02 00:58:54.542825+00:00
205133000,7,0,4.3,True,-7.987915,51.42714,165.6,154,0,57,2023-10-02 00:58:54.789640+00:00
235036365,0,-128,0.1,True,-3.2625266666666666,53.32309333333333,121.8,511,0,54,2023-10-02 00:58:54.951765+00:00
235066014,5,0,0,False,-4.957681666666667,51.699153333333335,240,143,0,55,2023-10-02 00:58:55.142798+00:00
235116077,0,0,0,True,-5.051198333333334,51.70646833333333,74,269,0,56,2023-10-02 00:58:55.487365+00:00
235007796,15,-128,0,True,-4.627823333333334,53.31061,61.7,511,0,0,2023-10-02 00:59:00.872669+00:00
235097047,0,0,0,False,-2.478616666666667,51.7188,249,332,0,1,2023-10-02 00:59:01.685735+00:00
636019313,5,0,0,False,-2.717205,51.49693,16,312,0,2,2023-10-02 00:59:01.741959+00:00
235100575,5,0,0,False,-3.2596366666666667,53.31921833333333,339.7,151,0,4,2023-10-02 00:59:03.841950+00:00
247376300,0,-9,0.7,True,-4.233633333333334,51.31814166666666,63.3,74,0,40,2023-10-02 00:59:04.052505+00:00
235053752,0,0,0,False,-2.7196566666666664,51.49848833333333,3,316,0,3,2023-10-02 00:59:04.868970+00:00
311016600,5,0,0,False,-2.7042116666666667,51.506125,20.5,25,0,6,2023-10-02 00:59:05.971826+00:00
235104618,0,0,0,False,-4.95128,51.69626,301.4,192,0,6,2023-10-02 00:59:06.170687+00:00
246827000,0,-9,5.9,False,-4.91493,53.17830166666667,21.9,21,0,5,2023-10-02 00:59:06.372031+00:00
235012605,0,-128,0,True,-2.7056666666666667,51.501418333333326,0,511,0,7,2023-10-02 00:59:07.841224+00:00
212637000,0,0,12,False,-6.004266666666666,53.27393666666667,334.2,336,0,7,2023-10-02 00:59:09.642635+00:00
244750645,5,0,0,True,-8.326600000000001,51.832483333333336,161,322,0,8,2023-10-02 00:59:09.833674+00:00
245889000,0,0,4,True,-3.00731,53.40268666666667,163.3,162,0,11,2023-10-02 00:59:11.984652+00:00
238295000,5,0,0,True,-4.996091666666667,51.69940166666667,98,98,0,10,2023-10-02 00:59:12.685735+00:00
235114458,9,0,0,True,-2.9850783333333335,51.56298666666667,287,231,0,56,2023-10-02 00:59:13.950202+00:00
356182000,5,0,0,False,-8.332036666666665,51.87566666666667,93.8,324,0,13,2023-10-02 00:59:14.134179+00:00
235105693,9,0,0,True,-3.2623333333333333,53.323,321.4,292,0,15,2023-10-02 00:59:15.005891+00:00
244176000,5,0,0,False,-2.9795483333333332,51.557428333333334,317,234,0,60,2023-10-02 00:59:16.710385+00:00
209211000,0,0,10,True,-5.596085,52.851945,5.7,6,0,14,2023-10-02 00:59:17.156384+00:00
258809000,0,16,10.9,True,-5.020533333333334,51.570190000000004,294.9,294,0,18,2023-10-02 00:59:19.410405+00:00
253612000,0,0,1.2,True,-2.977053333333333,53.36638166666667,127.7,141,0,19,2023-10-02 00:59:19.889813+00:00
219019002,5,0,0,True,-3.16871,51.235056666666665,69.7,349,0,18,2023-10-02 00:59:20.027202+00:00
250005367,15,0,11.7,False,-5.969773333333333,53.017375,175.8,179,0,35,2023-10-02 00:59:20.088296+00:00
232003278,5,0,0.2,False,-2.6999166666666667,51.51116666666667,121,206,0,23,2023-10-02 00:59:23.845060+00:00
235053752,0,0,0,False,-2.719641666666667,51.49848,3,316,0,22,2023-10-02 00:59:23.941517+00:00
232020455,0,0,14.7,True,-5.118191666666666,51.66631666666667,103.1,94,0,23,2023-10-02 00:59:24.161397+00:00
235100734,0,0,0.1,True,-3.2598716666666667,53.31964666666667,16,511,0,25,2023-10-02 00:59:25.369155+00:00
255772000,5,-9,0,False,-6.211138333333333,53.34354833333334,232.9,279,0,27,2023-10-02 00:59:26.620732+00:00
304352000,0,0,0.1,False,-3.153405,51.458,186.5,218,0,26,2023-10-02 00:59:27.480438+00:00
210101000,0,0,15.4,True,-7.669828333333333,51.369305000000004,136,133,0,29,2023-10-02 00:59:30.589940+00:00
235053142,0,0,0.1,False,-4.627035,53.31145,271.7,215,0,31,2023-10-02 00:59:30.890119+00:00
250487000,0,0,0,False,-5.839131666666666,53.32659833333333,225.6,290,0,34,2023-10-02 00:59:34.017882+00:00
235108809,0,0,0,False,-6.226925,53.346505,348,276,0,34,2023-10-02 00:59:34.289930+00:00
244066000,0,-5,9,False,-4.305666666666666,51.415870000000005,279.1,280,0,33,2023-10-02 00:59:34.977087+00:00
259547000,5,0,0,False,-2.7090383333333334,51.50557,22.1,207,0,35,2023-10-02 00:59:36.235212+00:00
219274000,0,4,1.3,False,-5.145031666666667,51.36566833333333,175.7,155,0,33,2023-10-02 00:59:36.666559+00:00
235019133,0,0,0,True,-4.6255283333333335,53.31245,59,217,0,37,2023-10-02 00:59:37.497335+00:00
232006684,0,0,0,False,-2.7018133333333334,51.496581666666664,176.3,218,0,36,2023-10-02 00:59:37.904770+00:00
232046313,5,0,0,True,-2.7070683333333334,51.502230000000004,195.1,341,0,53,2023-10-02 00:59:38.698658+00:00
235068455,0,0,0,True,-5.051213333333333,51.70641333333333,172,260,0,37,2023-10-02 00:59:40.733631+00:00
250006644,0,-127,9.7,True,-6.8800316666666665,51.584140000000005,353.9,357,0,41,2023-10-02 00:59:41.730936+00:00
246706000,5,0,0,True,-2.8990533333333333,53.293398333333336,201.8,136,0,42,2023-10-02 00:59:42.768760+00:00
369134000,5,0,0,True,-2.705926666666667,51.503883333333334,0,205,0,39,2023-10-02 00:59:42.937360+00:00
246447000,5,1,0,False,-2.9797000000000002,51.56073333333333,87.2,45,0,44,2023-10-02 00:59:44.485782+00:00
232011021,5,0,0,False,-2.720136666666667,51.498756666666665,81.3,312,0,42,2023-10-02 00:59:44.582484+00:00
248743000,0,4,16,True,-5.846276666666666,51.20675333333334,2,4,0,41,2023-10-02 00:59:44.651025+00:00
235114458,0,0,0,False,-2.984998333333333,51.562995,121,230,0,60,2023-10-02 00:59:45.236118+00:00
304352000,0,0,0,False,-3.153425,51.457995,186,218,0,60,2023-10-02 00:59:46.678352+00:00
235008741,7,-128,4.2,False,-4.9398,51.47715,352.7,511,0,46,2023-10-02 00:59:47.161047+00:00
219274000,0,-9,1.3,False,-5.145021666666667,51.36560166666666,178,155,0,44,2023-10-02 00:59:47.320896+00:00
235063728,1,0,0,False,-5.069843333333334,51.69939166666666,119.1,93,0,48,2023-10-02 00:59:47.468698+00:00
248189000,0,0,22.4,True,-5.90002,52.90719166666667,173.9,174,0,36,2023-10-02 00:59:47.504699+00:00
235104618,0,0,0,False,-4.951275,51.69625333333333,314.4,193,0,48,2023-10-02 00:59:47.673550+00:00
232020455,0,0,10.4,True,-5.116085,51.666000000000004,102.9,95,0,47,2023-10-02 00:59:48.026585+00:00
244333000,0,5,7.4,False,-5.975373333333334,53.19056666666667,343.3,346,0,46,2023-10-02 00:59:48.594913+00:00
250000054,7,-128,11.8,False,-5.957155,53.04035,175.4,511,0,48,2023-10-02 00:59:49.086289+00:00
308688000,0,0,17.8,False,-3.9149366666666667,51.324466666666666,265.8,263,0,48,2023-10-02 00:59:49.940600+00:00
235068455,0,0,0,True,-5.051213333333333,51.70641333333333,172,261,0,46,2023-10-02 00:59:50.353581+00:00
311082000,0,0,16.4,True,-5.87765,51.928641666666664,187.8,188,0,50,2023-10-02 00:59:50.599819+00:00
235094715,5,0,0,False,-3.259595,53.31941833333334,324.1,330,0,51,2023-10-02 00:59:50.658192+00:00
235091876,0,0,0,False,-2.984015,53.390865,360,169,0,53,2023-10-02 00:59:53.248788+00:00
305055000,0,0,14.1,False,-5.2035583333333335,52.914210000000004,200.4,200,0,52,2023-10-02 00:59:53.250042+00:00
235036365,0,-128,0.1,True,-3.2624983333333333,53.32309,108.2,511,0,54,2023-10-02 00:59:54.325271+00:00
205133000,7,0,4.4,True,-7.98728,51.426006666666666,158.4,153,0,57,2023-10-02 00:59:54.824932+00:00
371172000,0,0,0.9,True,-4.2080166666666665,51.36826666666666,277,164,0,57,2023-10-02 00:59:58.311651+00:00
314455000,5,0,0,True,-8.330454999999999,51.83553,31.2,145,0,58,2023-10-02 00:59:59.420290+00:00
265000000,15,-128,0.7,False,-8.288141666666666,51.852936666666665,279.1,511,0,32,2023-10-02 01:00:01.148125+00:00
244820165,5,0,0,True,-6.219133333333334,53.348733333333335,95,95,0,58,2023-10-02 01:00:01.435529+00:00
235007796,15,-128,0,True,-4.6278283333333325,53.310626666666664,0,511,0,0,2023-10-02 01:00:01.541036+00:00
2339002,1,-128,0,False,-3.2655000000000003,51.38783,0,2,0,11,2023-10-02 01:00:02.009638+00:00
235097047,0,0,0,False,-2.478616666666667,51.7188,249,334,0,1,2023-10-02 01:00:02.249793+00:00
250005367,15,0,11.6,False,-5.96941,53.015125,175.9,178,0,17,2023-10-02 01:00:02.333784+00:00
538006344,5,0,0,True,-8.261181666666667,51.83443166666667,31.3,207,0,59,2023-10-02 01:00:02.450044+00:00
259038000,0,-12,8.5,False,-5.808000000000001,51.73066666666667,14,16,0,0,2023-10-02 01:00:03.514381+00:00
235105693,9,0,0,True,-3.2621666666666664,53.323,321.4,292,0,4,2023-10-02 01:00:04.843623+00:00
311000996,5,0,0,False,-2.9843266666666666,51.55532,343.8,55,0,53,2023-10-02 01:00:04.952520+00:00
245097000,5,2,0,True,-2.700441666666667,51.51258666666667,11.6,207,0,4,2023-10-02 01:00:05.052344+00:00
235116077,0,0,0,True,-5.051193333333333,51.70646833333333,146.6,270,0,4,2023-10-02 01:00:05.207631+00:00
235053752,0,0,0,False,-2.719643333333333,51.49847666666667,3,316,0,3,2023-10-02 01:00:05.940563+00:00
205133000,7,0,4.4,True,-7.987136666666667,51.42581666666667,154.2,153,0,7,2023-10-02 01:00:06.009512+00:00
235104618,0,0,0,False,-4.951273333333333,51.69625666666666,322.9,193,0,6,2023-10-02 01:00:07.164562+00:00
232033047,5,7,0,False,-3.2594616666666667,53.31918666666666,196.8,331,0,5,2023-10-02 01:00:07.686863+00:00
538005074,5,0,0,False,-2.9875133333333332,51.556581666666666,14.7,54,0,7,2023-10-02 01:00:08.056194+00:00
235012605,0,-128,0,True,-2.705635,51.501441666666665,0,511,0,7,2023-10-02 01:00:08.357163+00:00
235019133,0,0,0,True,-4.625536666666666,53.31245,242.8,219,0,7,2023-10-02 01:00:08.590437+00:00
235067991,1,0,0.1,False,-4.969046666666667,51.698165,272.5,20,0,24,2023-10-02 01:00:08.682374+00:00
235068112,1,0,0.1,False,-4.969351666666666,51.69816166666667,315.7,20,0,9,2023-10-02 01:00:09.035048+00:00
235667000,0,0,0,False,-6.198933333333333,53.347433333333335,248.6,2,0,8,2023-10-02 01:00:09.260901+00:00
209878000,5,0,0,True,-4.618250000000001,53.31941666666667,141.6,30,0,9,2023-10-02 01:00:10.435340+00:00
235095311,5,0,0.3,False,-5.075048333333333,51.66084,212.6,67,1,11,2023-10-02 01:00:11.448222+00:00
245889000,0,0,3.9,True,-3.006796666666667,53.401624999999996,165.1,162,0,11,2023-10-02 01:00:12.187175+00:00
253532000,5,0,0,False,-3.169481666666667,51.234500000000004,79,349,0,60,2023-10-02 01:00:12.592083+00:00
232004516,0,-128,0,True,-2.7609566666666665,53.33007666666666,360,511,0,12,2023-10-02 01:00:13.096115+00:00
230623000,5,2,0,False,-2.7159616666666664,51.49610499999999,313.2,313,0,13,2023-10-02 01:00:13.255461+00:00
235036365,0,-128,0.1,True,-3.2625033333333335,53.32309333333333,106.1,511,0,13,2023-10-02 01:00:14.214364+00:00
235040596,5,0,0,True,-2.7066316666666665,51.50128333333334,46.5,345,0,13,2023-10-02 01:00:14.217462+00:00
235105693,9,0,0,True,-3.2621666666666664,53.323,321.4,292,0,15,2023-10-02 01:00:15.171545+00:00
212637000,0,0,12,False,-6.0069,53.27724666666666,334.4,335,0,13,2023-10-02 01:00:15.521196+00:00
209211000,0,0,9.9,True,-5.595683333333333,52.854688333333335,5,5,0,14,2023-10-02 01:00:17.195454+00:00
215188000,5,-3,0,True,-2.715123333333333,51.494209999999995,360,48,0,17,2023-10-02 01:00:17.446726+00:00
372633000,5,0,0,False,-2.7084683333333337,51.50639,239.3,209,0,17,2023-10-02 01:00:17.672903+00:00
244734000,5,0,0,False,-4.9901,51.69891,0.4,278,0,17,2023-10-02 01:00:18.682435+00:00
538009218,0,-4,12.1,False,-4.76889,53.39904166666667,35.8,35,0,20,2023-10-02 01:00:19.487564+00:00
253612000,0,0,1.1,True,-2.9766383333333333,53.36618,129.7,144,0,19,2023-10-02 01:00:19.863298+00:00
258809000,0,4,10.9,True,-5.024953333333333,51.57139333333334,294.1,294,0,18,2023-10-02 01:00:19.877364+00:00
250005367,15,127,11.5,False,-5.969235,53.014163333333336,172.5,178,0,35,2023-10-02 01:00:20.122807+00:00
212637000,0,0,12,False,-6.007133333333333,53.27755,334.6,335,0,19,2023-10-02 01:00:21.568545+00:00
244995000,5,0,0,False,-3.04519,53.40346,273.2,105,0,36,2023-10-02 01:00:21.786036+00:00
235100744,5,0,0,False,-3.2598333333333334,53.31933333333333,44.6,120,0,23,2023-10-02 01:00:23.579705+00:00
235053752,0,0,0,False,-2.719626666666667,51.498475,3,316,0,60,2023-10-02 01:00:24.119112+00:00
235100734,0,0,0.1,True,-3.259866666666667,53.31964,38.1,511,0,25,2023-10-02 01:00:25.344729+00:00
304352000,0,0,0.1,False,-3.1534383333333333,51.458013333333334,186.5,218,0,26,2023-10-02 01:00:27.530247+00:00
232042056,5,0,0,False,-2.9851233333333336,51.56309666666667,43,235,0,60,2023-10-02 01:00:28.210969+00:00
232034880,0,127,12.2,False,-5.68605,52.88473,186.3,189,0,27,2023-10-02 01:00:30.352289+00:00
210101000,0,0,15.5,True,-7.665011666666667,51.366234999999996,134.7,132,0,29,2023-10-02 01:00:30.648554+00:00
250487000,0,127,0.2,False,-5.8391150000000005,53.32660666666666,23.5,295,0,34,2023-10-02 01:00:34.045559+00:00
235108809,0,0,0,False,-6.226938333333334,53.346493333333335,348,275,0,34,2023-10-02 01:00:34.279945+00:00
248497000,5,0,0,False,-2.7009933333333334,51.509706666666666,280.5,209,0,35,2023-10-02 01:00:35.236424+00:00
244066000,0,8,8.9,False,-4.3096000000000005,51.41625,278.3,279,0,33,2023-10-02 01:00:36.318815+00:00
232020455,0,0,9.2,True,-5.112525000000001,51.66554333333333,103,96,0,36,2023-10-02 01:00:36.657427+00:00
235108458,5,0,0,False,-8.295361666666667,51.80581333333334,114.7,247,0,37,2023-10-02 01:00:36.862581+00:00
232006684,0,0,0,False,-2.7017866666666666,51.496608333333334,176.3,218,0,36,2023-10-02 01:00:37.908419+00:00
235063854,5,0,0,False,-5.06984,51.69948333333333,189.4,90,0,13,2023-10-02 01:00:39.215604+00:00
235091158,5,0,0.2,False,-3.260031666666667,53.319939999999995,352.2,154,0,42,2023-10-02 01:00:41.914761+00:00
235114458,0,0,0,False,-2.9851633333333334,51.562995,296,231,0,60,2023-10-02 01:00:45.349624+00:00
304352000,0,0,0,False,-3.1534283333333333,51.457985,186,218,0,60,2023-10-02 01:00:46.581485+00:00
258310000,0,-13,5.5,True,-5.252176666666667,52.61441333333333,22,21,0,46,2023-10-02 01:00:46.810742+00:00
235008741,7,-128,4.2,False,-4.940266666666667,51.47828333333334,348.7,511,0,47,2023-10-02 01:00:47.196526+00:00
