314217000,9145554,WILSON MAAS         ,8PSZ   ,79,4.1,70,8,5,5,10,10,20,0,GBKYL               ,1,2023-10-12 05:41:03.678395+00:00
235008930,933113900,VOE VIKING          ,MHWM4  ,52,2.5,12,14,6,5,9,18,8,0,KISHORN             ,15,2023-10-12 05:41:09.412227+00:00
244333000,9829007,THUN LIFFEY         ,PBWT   ,80,6.4,127,23,5,18,10,8,23,30,GB PEM              ,1,2023-10-12 05:41:09.856763+00:00
212637000,9803675,BG DIAMOND          ,5BVG4  ,79,7.3,135,18,12,12,10,11,13,45,IEORK               ,0,2023-10-12 05:41:17.317391+00:00
235025112,9319741,BUTE,MHPD8,69,3,11,61,7,8,10,12,21,30,GBRAY GBWMB,1,2023-10-12 05:41:21.811406+00:00
232006643,9818761,GINA MARY,MAQQ2,9,3,0,0,0,0,10,9,7,0,SCONSER,1,2023-10-12 05:41:32.045377+00:00
232002927,8807947,SD MOORHEN          ,GACX   ,34,2,21,10,3,8,8,10,9,0,KYLE OF LOCHALSH    ,0,2023-10-12 05:41:42.895967+00:00
235089447,700203,SEAMOGS ,MBRE3,36,1.9,9,6,1,4,9,4,8,0,OLD.COURT       ,15,2023-10-12 05:41:46.670034+00:00
231873000,9963487,BALTIC CRYSTAL      ,OZ2211 ,70,6.5,89,11,1,13,10,19,14,0,GBBEL>SEROR         ,1,2023-10-12 05:41:52.036043+00:00
308919000,8912302,YEOMAN BRIDGE,C6JY9,70,8.5,206,44,27,11,10,10,7,0,GBGSA,1,2023-10-12 05:42:01.641234+00:00
235110355,0,GIRL NATALIE        ,2IJT8  ,30,0,0,0,0,0,0,0,24,60,FISHING             ,15,2023-10-12 05:42:01.668672+00:00
636016722,9705885,ELKA ASTIR          ,D5HL6  ,80,8.2,161,28,12,23,10,5,18,0,FOR ORDERS          ,1,2023-10-12 05:42:12.332397+00:00
259038000,9344514,FRI LIEPAJA         ,LANO8  ,79,4,75,15,8,6,10,9,12,0,ZZUKN               ,1,2023-10-12 05:42:22.168827+00:00
232023027,0,OBERVARGH     ,MFOU4,52,1.4,7,8,3,3,9,18,9,0,NEWLYN ,3,2023-10-12 05:42:23.431290+00:00
258310000,9321603,BERGEN STAR,LAQM8,89,5.3,80,10,1,15,10,11,7,0,IE ORK,1,2023-10-12 05:42:24.028814+00:00
232004057,0,FRANCESCA_TO 80 ,GHMB,99,0,10,6,3,2,0,0,24,60,NEWLYN,15,2023-10-12 05:42:49.904333+00:00
232005850,0,FV BILLYROWNEY PZ532,MGMS9  ,30,3.8,9,6,3,3,0,0,24,60,FISHING GROUNDS     ,1,2023-10-12 05:42:59.912415+00:00
215865000,9854363,MINERVA PSARA       ,9HA5338,80,11.5,234,61,24,22,10,22,21,0,FOR ORDERS          ,1,2023-10-12 05:43:08.288787+00:00
352895000,8516574,M/V JENNA           ,HP6349 ,70,2.5,22,11,3,5,10,10,12,30,KYLE OF LOCHALSH    ,1,2023-10-12 05:43:13.909486+00:00
235066014,9440758,SVITZER LINDSWAY    ,2BGW7  ,52,7.4,15,19,8,6,1,1,23,59,MILFORD HAVEN       ,1,2023-10-12 05:43:20.826717+00:00
209763000,9247388,M/T APATYTH         ,5BJC4  ,89,6.3,130,38,15,12,10,11,21,0,GBFAW-GBMLF         ,1,2023-10-12 05:43:25.105946+00:00
250006183,0,HARVEST REAPER II   ,EI-XW-3,30,3,10,7,1,5,12,21,8,30,BALTIMORE           ,15,2023-10-12 05:43:32.420231+00:00
376117000,9115937,KEVSER S            ,J8B6090,70,6.2,78,12,4,9,10,12,6,0,IERIN               ,1,2023-10-12 05:43:52.320276+00:00
235093244,0,LADY OF AVENEL,2FPU9,36,3,22,10,3,3,6,19,16,0,SCAVAIG,1,2023-10-12 05:43:54.323233+00:00
250487000,9244439,RV CELTIC EXPLORER  ,EIGB   ,39,5.8,30,35,10,5,10,9,19,0,RESEARCH            ,1,2023-10-12 05:43:59.606342+00:00
319037000,8955536,S/Y ADELA           ,ZCGB9  ,37,5,30,8,4,4,9,23,11,0,FALMOUTH            ,0,2023-10-12 05:44:01.902279+00:00
232003889,9001693,FORTITUDE,MMQU9,52,4.2,12,18,4,6,6,4,16,0,PENZANCE,15,2023-10-12 05:44:12.227181+00:00
232032414,9257943,ENTERPRISE     ,MINC5,30,5,30,12,5,4,8,6,11,0,NEWLYN/FISHGROUND   ,1,2023-10-12 05:44:17.732571+00:00
250004253,9547855,DSG TITAN ESCORT TUG,EISD6  ,90,5.8,15,15,5,5,12,13,10,30,CORK                ,1,2023-10-12 05:44:18.645286+00:00
232001270,7527796,SCILLONIAN III,GWOS,69,3.2,24,44,9,3,10,11,19,0,PZ/SC/PZ,1,2023-10-12 05:44:25.162613+00:00
235021774,0,ILENE               ,MZWK   ,30,0,15,5,3,2,0,0,0,0,,1,2023-10-12 05:44:34.936259+00:00
232005850,0,FV BILLYROWNEY PZ532,MGMS9  ,30,3.8,9,6,3,3,0,0,24,60,FISHING GROUNDS     ,1,2023-10-12 05:44:35.478325+00:00
255771000,9436202,BG RUBY             ,CQLO   ,71,7.2,131,10,8,14,10,14,0,30,IERIN>NLRTM         ,1,2023-10-12 05:44:41.781622+00:00
311307000,9195169,NORWEGIAN DAWN,C6FT7,69,8.5,40,255,16,16,10,12,5,0,"CORK, IRELAND",1,2023-10-12 05:44:41.835812+00:00
235007880,9287833,WHITSTAR,MFTS2,89,5.9,60,15,8,6,10,9,7,0,FALMOUTH,1,2023-10-12 05:44:50.398926+00:00
235116077,0,ST DAVIDS           ,2JIA5  ,50,1.5,12,7,2,2,6,13,11,0,MILFORD HAVEN       ,1,2023-10-12 05:44:55.086381+00:00
235101000,0,BRITANNIA V  CH8  16,GHLL,30,0,11,4,3,3,0,0,0,0,NEWLYN,1,2023-10-12 05:44:59.853262+00:00
232018002,9121625,STENA SCOTIA,MDVO8,71,4.8,17,126,7,16,10,12,15,30,BEL-HEY-BEL,1,2023-10-12 05:45:10.511195+00:00
538008893,9346744,P. KIKUMA           ,V7A2880,81,12.5,208,40,26,18,10,4,11,0,IEWHI               ,1,2023-10-12 05:45:13.500980+00:00
255806016,9354466,HELMUT,CQIN7,79,8,14,120,11,11,10,12,12,0,IEDUB,1,2023-10-12 05:45:17.042228+00:00
232026880,0,PATRICIA MATHESON   ,MHAI5  ,52,2.4,11,8,2,6,9,27,12,30,KYLE                ,1,2023-10-12 05:45:20.529006+00:00
235067374,9476329,SD MARS             ,2BME6  ,52,3.2,10,16,2,2,4,19,7,30,KYLE                ,1,2023-10-12 05:45:21.824358+00:00
